"MH1","The Conjuring","H",2016,"Vera Farmiga,Patrick Wilson,Madison Wolfe","James Wan","USA","English",134,"15","none","A couple travel to north London to help a single mother raising four children alone in a house plagued by a malicious spirit."
"MH2","Friday The 13th","H",2009,"Jared Padalecki,Amanda Righetti,Derek Mears","Marcus Nispel","USA","English",97,"18","none","A group of young adults discover a boarded up Camp Crystal Lake where they soon encounter Jason Voorhees."
"MH3","One Missed Call","H",2003,"Ko Shibasaki,Shin'ichi Tsutsumi, Kazue Fukiishi","Takashi Miike","Japan","Japanese",112,"15","none","People mysteriously start receiving voicemail messages from their future selves, in the form of the sound of them reacting to their own violent deaths."
"MH4","Scream 4","H",2011,"Neve Campbell,Courteney Cox,David Arquette","Wes Craven","USA","English",111,"15","none","Ten years have passed and Sidney Prescott who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer."
"MN1","Madagascar","N",2005,"Chris Rock,Ben Stiller,David Schwimmer","Eric Darnell,Tom McGrath","USA","English",86,"U","none","Spoiled by their upbringing with no idea what wild life is really like, four animals from New York Central Zoo escape, unwittingly assisted by four absconding penguins, and find themselves in Madagascar, among a bunch of merry lemurs"
"MN2","Toy Story","N",1995,"Tom Hanks,Tim Allen,Don Rickles","John Lasseter","USA","English",81,"PG","none","A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room."
"MN3","The Lion King","N",1994,"Matthew Broderick, Jeremy Irons, James Earl Jones ","Roger Allers, Rob Minkoff","USA","English",89,"U","none","Lion cub and future king Simba searches for his identity. His eagerness to please others and penchant for testing his boundaries sometimes gets him into trouble."
"MN4","Ice Age","N",2002,"Denis Leary, John Leguizamo, Ray Romano","Chris Wedge, Carlos Saldanha","USA","English",81,"U","none","Set during the Ice Age, a sabertooth tiger, a sloth, and a wooly mammoth find a lost human infant, and they try to return him to his tribe."
"MN5","Kung Fu Panda","N",2008," Jack Black, Ian McShane, Angelina Jolie ","Mark Osborne, John Stevenson","USA","English",92,"U","none","In the Valley of Peace, Po the Panda finds himself chosen as the Dragon Warrior despite the fact that he is obese and a complete novice at martial arts."
"MW1","Magnificient 7","W",1960,"Yul Brynner,Steve McQueen,Charles Bronson","John Sturges","USA","English",128,"U","none","An oppressed Mexican peasant village assembles seven gunfighters to help defend their homes."
"MW2","The Mask of Zorro","W",1998," Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones "," Martin Campbell","USA","English",136,"PG","none","A young thief, seeking revenge over the death of his brother, is trained by the once great, but aged Zorro, who is also seeking a vengeance of his own."
"MW3","Jane Got Gun","W",2016," Natalie Portman, Joel Edgerton, Ewan McGregor","Gavin O'Connor","USA","English",98,"15","none","A woman asks her ex-lover for help in order to save her outlaw husband from a gang out to kill him."
"MW4","Bite The Bullet","W",1975," Gene Hackman, Candice Bergen, James Coburn","Richard Brooks","USA","English",132,"A","none","A group of ex-rough riders, an ex-prostitute and a gunfighter enter a horse race in the desert."
"MA1","Speed 2","A",1997,"Sandra Bullock, Jason Patric, Willem Dafoe","Jan de Bont","USA","English",121,"PG","none","A computer hacker breaks into the computer system of the Seabourn Legend cruise liner and sets it speeding on a collision course into a gigantic oil tanker."
"MA2","Die Hard","A",1988,"Bruce Willis,Alan Rickman,Bonnie Bedelia","John McTiernan","USA","English",131,"18","none","John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles."
"MA3","Bourne Supremacy","A",2004,"Matt Damon, Franka Potente, Joan Allen","Paul Greengrass","USA","English",108,"12A","none","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
"MA4","The Fugitive","A",1993,"Harrison Ford,Tommy Lee Jones,Sela Ward","Andrew Davis","USA","English",130,"12","none","Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt."
"MV1","Everest","V",2015,"Jason Clarke, Ang Phula Sherpa, Thomas M. Wright","Baltasar Kormakur","USA","English",121,"12","none","A climbing expedition on Mt. Everest is devastated by a severe snow storm."
"MV2","The Martian","V",2015,"Matt Damon, Jessica Chastain, Kristen Wiig "," Ridley Scott","USA","English",144,"12","none","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
"MV3","Gravity","V",2013,"Sandra Bullock, George Clooney, Ed Harris ","Alfonso Cuaron","USA","English",91,"12A","none","A medical engineer and an astronaut work together to survive after an accident leaves them adrift in space."
"MV4","Interstellar","V",2014,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","Christopher Nolan","USA","English",169,"12A","none","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
"MV5","Vertical Limit","V",2000,"Scott Glenn, Chris O'Donnell, Bill Paxton","Martin Campbell","USA","English",124,"12","none","A climber must rescue his sister on top of K2, one of the world's biggest mountains."