country,continent,regionUN,subregionUN,year_stunting_current,prev_stunting_current,number_stunting_current,year_wasting,prev_wasting,number_wasting,year_sev_wasting,number_sev_wasting,prev_sev_wasting,year_u5overweight,prev_u5overweight,number_u5overweight,year_lbw,LBW,year_stuntingtrend1,rate_stuntingtrend1,year_stuntingtrend2,rate_stuntingtrend2,year_stuntingtrend3,rate_stuntingtrend3,year_stuntingtrend4,rate_stuntingtrend4,year_stuntingtrend5,rate_stuntingtrend5,,,,,,year_adolOWOB,AdolOW,AdolOB,year_heightBMI,prev_height145,prev_BMI185,year_adult_OB_OW,ow_male,ow_female,ow_bothsexes,ob_male,ob_female,ob_bothsexes,year_WRAanaemia,WRAanaemia_RATE,WRAanaemia_NUMBER,year_vitA_def,prevalence_vita,year_IodineNutrition,Class_IodineNutrition,year_bloodglucose,BGboth,BGmale,BGfemale,year_bloodpressure,BPboth,BPmale,BPfemale,year_cholesterol,cholesterol_BOTH,cholesterol_MALE,cholesterol_FEMALE,current_aarr_stunting,reqd_aarr_stunting,stunting_progress,current_aarr_u5overweight,reqd_aarr_u5overweight,u5overweight_progress,wasting_progress,year_WHAtarget_WRAanaemia,WHAtarget_WRAanaemia1
France,Europe,Europe,Western Europe,,,,,,,,,,,,,2011,6.6,,,,,,,,,,,,,,,,,,,,,,2014,67,55,61,24,24,24,2011,19,2680,,,1996,Mild iodine deficiency,2008,6,7,4,2008,36,42,29,2008,62,64,60,,,,,,,,2011,Currently off course
Gabon,Africa,Africa,Middle Africa,2012,18,42,2012,3,8,2012,0,1.299999952,2012,8,18,2000,14,,,,,,,2012,18,2000,26,,,,,,,,,2012,1,5.2,2014,41,49,45,13,23,18,2011,51,201,2013,40,2001,Optimal iodine nutrition,2008,10,9,10,2008,46,48,43,2008,43,41,44,3,5,Off course - Some progress,-2.690000057,0.7,Off course - No progress,on course,2011,Currently off course
Gambia,Africa,Africa,Western Africa,2013,25,83,2013,12,39,,,,2013,3,9,2010,10.2,2013,25,2010,23,2006,28,2000,24,1996,36,,,,,,,,,,,,2014,26,39,33,6,16,11,2011,45,202,2013,54,1999,Moderate iodine deficiency,2008,11,10,11,2008,46,48,43,2008,20,18,23,-2,6,Off course - No progress,-12.43000031,2.9,On course - At risk,off course,2011,Currently off course
Georgia,Asia,Asia,Western Asia,2009,11,32,2009,2,5,2009,0,0.600000024,2009,20,57,2012,6.5,,,,,2009,11,2005,15,1999,16,,,,,,,,,,,,2014,54,56,55,17,24,21,2011,28,310,2013,11,1998,Mild iodine deficiency,2008,12,12,11,2008,47,50,44,2008,37,36,38,3,2,On course - Good progress,-1.190000057,6.3,Off course - No progress,on course,2011,Currently off course
Germany,Europe,Europe,Western Europe,2005,1,48,2005,1,37,2005,0,0.100000001,2005,4,129,2012,6.9,,,,,,,,,2005,1,,,,,,,,,,,,2014,63,47,55,22,19,20,2011,18,3318,,,1999,Optimal iodine nutrition,2008,8,10,6,2008,40,45,34,2008,66,70,61,,4,,,0,,on course,2011,Currently off course
Ghana,Africa,Africa,Western Africa,2014,19,697,2014,5,174,2014,0,0.699999988,2014,3,96,2011,10.7,2014,19,2011,23,2008,29,2006,28,2003,36,,,,,,2007,6.9,0.7,2008,1.2,7.7,2014,24,44,34,5,19,12,2011,56,3451,2013,50,1994,Mild iodine deficiency,2008,10,10,10,2008,42,43,41,2008,18,16,21,6,4,On course - Good progress,0,0,On course - Good progress,on course,2011,Currently off course
Greece,Europe,Europe,Southern Europe,,,,,,,,,,,,,2012,9.8,,,,,,,,,,,,,,,,,,,,,,2014,66,55,61,22,24,23,2011,20,540,,,,,2008,9,10,8,2008,36,39,33,2008,48,50,46,,,,,,,,2011,Currently off course
Grenada,Americas,Latin America and the Caribbean,Caribbean,,,,,,,,,,,,,2011,8.8,,,,,,,,,,,,,,,,,,,,,,2014,51,65,58,18,34,26,2011,26,7,2013,5,,,2008,12,11,12,2008,42,45,38,2008,34,30,37,,,,,,,,2011,Currently off course
Guatemala,Americas,Latin America and the Caribbean,Central America,2009,48,1024,2009,1,23,2009,0,0.200000003,2009,5,105,2008,11.4,2009,48,2002,54,2000,50,1999,53,1995,55,,,,,,2009,27.1,7.5,2002,25.5,1.9,2014,48,56,52,13,24,19,2011,26,940,2013,5,1995,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,13,12,14,2008,36,40,33,2008,28,23,32,1,5,Off course - Some progress,4.239999771,0,On course - Good progress,on course,2011,Currently off course
Guinea,Africa,Africa,Western Africa,2012,31,581,2012,10,184,2012,0,4.099999905,2012,4,71,2005,12,2012,31,2011,36,2007,40,2005,39,2000,47,,,,,,,,,2012,1,10.7,2014,18,33,26,3,10,7,2011,48,1139,2013,51,1999,Mild iodine deficiency,2008,9,9,9,2008,46,47,46,2008,19,16,21,1,5,Off course - Some progress,2.130000114,0,On course - Good progress,off course,2011,Currently off course
Guinea-Bissau,Africa,Africa,Western Africa,2014,28,76,2014,6,16,2014,0,1.399999976,2014,2,6,2010,11,2014,28,2010,32,2008,28,2006,48,2000,36,,,,,,,,,,,,2014,19,33,26,4,11,7,2011,45,165,,,,,2008,9,9,9,2008,45,47,44,2008,17,15,18,4,5,Off course - Some progress,7.920000076,0,On course - Good progress,off course,2011,Currently off course
Guyana,Americas,Latin America and the Caribbean,South America,2014,12,10,2014,6,5,2014,0,1.700000048,2014,5,4,2009,14.3,2014,12,2009,20,2006,18,2000,14,1997,14,,,,,,,,,2009,5.7,8.2,2014,44,62,53,14,32,23,2011,34,67,2013,7,1997,Optimal iodine nutrition,2008,12,11,13,2008,41,43,38,2008,23,20,27,9,2,On course - Good progress,4.579999924,0,On course - Good progress,off course,2011,Currently off course
Haiti,Americas,Latin America and the Caribbean,Caribbean,2012,22,274,2012,5,65,2012,0,1.299999952,2012,4,45,2012,23,2012,22,2006,30,2000,28,1994,37,1990,40,,,,,,,,,2012,1,9.4,2014,32,45,39,7,17,12,2011,37,979,2013,21,1999,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,10,10,10,2008,41,44,38,2008,23,19,25,2,4,Off course - Some progress,-1.25,0,On course - At risk,off course,2011,Currently off course
Honduras,Americas,Latin America and the Caribbean,Central America,2012,23,224,2012,1,14,2012,0,0.300000012,2012,5,51,2011,9.9,2012,23,2006,30,2001,35,1996,39,1994,46,,,,,,2012,17.8,5.6,2011,8.7,2.9,2014,47,56,52,12,24,18,2011,18,364,2013,11,1994-7,Mild iodine deficiency,2008,9,9,8,2008,38,42,35,2008,30,27,33,4,4,Off course - Some progress,-4.889999866,0,On course - At risk,on course,2011,Currently off course
Hungary,Europe,Europe,Eastern Europe,,,,,,,,,,,,,2012,8.6,,,,,,,,,,,,,,,,,,,,,,2014,67,53,60,24,24,24,2011,24,560,,,,,2008,10,11,9,2008,46,50,41,2008,55,55,54,,,,,,,,2011,Currently off course
Iceland,Europe,Europe,Northern Europe,,,,,,,,,,,,,2012,4.2,,,,,,,,,,,,,,,,,,,,,,2014,65,51,58,24,22,23,2011,17,13,,,1998,Optimal iodine nutrition,2008,9,11,7,2008,34,40,27,2008,70,73,67,,,,,,,,2011,Currently off course
India,Asia,Asia,Southern Asia,2014,39,48000,2014,15,19000,2014,8,4.599999905,2006,2,2370,2005,28,2006,48,1999,54,1997,46,1993,58,2014,39,,,,,,2007,10.8,2.1,2005,11.9,39.9,2014,20,25,22,3,7,5,2011,48,153490,2013,45,1993-2002,Optimal iodine nutrition,2008,11,11,11,2008,35,36,34,2008,28,26,30,3,4,Off course - Some progress,5.860000134,0,On course - Good progress,off course,2011,Currently off course
Indonesia,Asia,Asia,South-Eastern Asia,2013,36,8728,2013,14,3237,2013,2,6.699999809,2013,12,2758,2007,9,2013,36,2010,39,2007,40,2001,42,2004,29,,,,,,2007,9.9,1.8,,,,2014,21,28,25,4,8,6,2011,23,15308,2013,5,1996,Mild iodine deficiency,2008,7,7,7,2008,41,43,39,2008,36,33,38,2,3,Off course - Some progress,2.220000029,4.1,Off course - Some progress,off course,2011,Currently off course
Iran,Asia,Asia,Southern Asia,2011,7,465,2011,4,273,2011,0,1.399999976,,,,2011,7.7,,,2011,7,2004,7,1998,20,1995,24,,,,,,,,,,,,2014,60,65,62,20,32,26,2011,28,6385,2013,6,1996,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,10,9,11,2008,39,41,37,2008,54,50,58,1,3,Off course - Some progress,,,,on course,2011,Currently off course
Iraq,Asia,Asia,Western Asia,2011,23,1073,2011,7,351,2011,0,3.599999905,2011,12,560,2011,13.4,2011,23,2006,28,2004,20,2003,34,2000,28,,,,,,2012,25.3,7.9,,,,2014,53,63,58,17,31,24,2011,31,2418,2013,14,,,2008,13,13,13,2008,40,41,39,2008,44,44,44,2,5,Off course - Some progress,-7.53000021,3.7,Off course - No progress,off course,2011,Currently off course
Ireland,Europe,Europe,Northern Europe,,,,,,,,,,,,,2011,5.2,,,,,,,,,,,,,,,,,,,,,,2014,66,55,60,26,25,26,2011,17,194,,,1999,Mild iodine deficiency,2008,7,8,6,2008,41,47,34,2008,63,66,60,,,,,,,,2011,Currently off course
Israel,Asia,Asia,Western Asia,,,,,,,,,,,,,2012,8,,,,,,,,,,,,,,,,,,,,,,2014,68,59,64,24,27,25,2011,17,305,,,,,2008,9,10,9,2008,34,37,30,2008,54,52,55,,,,,,,,2011,Currently off course
Italy,Europe,Europe,Southern Europe,,,,,,,,,,,,,2010,7.3,,,,,,,,,,,,,,,,,,,,,,2014,64,54,59,20,22,21,2011,19,2682,,,1992-99,Mild iodine deficiency,2008,7,9,5,2008,38,42,34,2008,62,62,62,,,,,,,,2011,Currently off course
Jamaica,Americas,Latin America and the Caribbean,Caribbean,2012,6,14,2012,3,8,,,,2012,8,20,2011,11.3,2012,6,2010,5,2008,5,2007,4,2006,6,,,,,,2010,21.7,6,,,,2014,52,66,59,18,36,27,2011,24,177,2013,10,,,2008,12,10,13,2008,41,43,39,2008,31,27,34,2,3,Off course - Some progress,0.730000019,0.8,Off course - Some progress,on course,2011,Currently off course
Japan,Asia,Asia,Eastern Asia,2010,7,383,2010,2,124,2010,0,0.200000003,2010,2,81,2012,9.6,,,,,,,,,2010,7,,,,,,,,,,,,2014,29,20,24,3,3,3,2011,22,5930,,,,,2008,6,7,5,2008,36,41,31,2008,57,58,56,,3,,,0,,on course,2011,Currently off course
Jordan,Asia,Asia,Western Asia,2012,8,73,2012,2,22,2012,0,0.699999988,2012,5,44,2007,13,2012,8,2009,8,2002,12,1997,11,1990,21,,,,,,2007,21.2,5,2012,0.5,2,2014,62,70,66,23,39,31,2011,28,456,2013,15,2000,Optimal iodine nutrition,2008,18,17,18,2008,35,38,32,2008,49,48,50,4,3,On course - Good progress,-0.860000014,0,On course - At risk,on course,2011,Currently off course
Kazakhstan,Asia,Asia,Central Asia,2010,13,206,2010,4,64,2010,0,1.700000048,2010,13,209,2012,6.1,,,2010,13,2006,18,1999,14,1995,23,,,,,,,,,1999,0.7,9.8,2014,61,57,59,22,25,23,2011,30,1320,2013,15,1999,Mild iodine deficiency,2008,12,13,11,2008,45,49,41,2008,46,45,46,0,3,Off course - Some progress,-9.739999771,4.2,Off course - No progress,on course,2011,Currently off course
Kenya,Africa,Africa,Eastern Africa,2014,26,1855,2014,4,285,2014,0,0.899999976,2014,4,293,2008,8,2014,26,2009,35,2005,41,2003,36,2000,41,,,,,,,,,2008,1.1,12.2,2014,18,35,26,3,11,7,2011,25,2521,2013,49,1994,Optimal iodine nutrition,2008,8,8,8,2008,45,46,43,2008,27,26,27,6,5,On course - Good progress,3.890000105,0,On course - Good progress,on course,2011,Currently on course
Kiribati,Oceania,Oceania,Micronesia,,,,,,,,,,,,,2011,8.3,,,,,,,,,1985,34,,,,,,2011,39.8,8.2,,,,2014,67,79,73,33,49,41,2011,21,6,2013,9,,,2008,24,24,25,2008,37,42,33,2008,36,33,38,,,,,,,,2011,Currently off course
Kuwait,Asia,Asia,Western Asia,2014,6,19,2014,2,8,2014,0,0.600000024,2014,9,29,2011,8.3,2014,6,2013,5,2012,4,2011,4,2010,4,,,,,,2011,51.4,22.7,,,,2014,75,76,75,36,46,40,2011,22,150,2013,9,1997,Optimal iodine nutrition,2008,16,17,15,2008,38,40,35,2008,56,54,56,-16,5,Off course - No progress,4.300000191,2,Off course - Some progress,on course,2011,Currently off course
Kyrgyzstan,Asia,Asia,Central Asia,2014,13,90,2014,3,20,2014,0,0.800000012,2014,7,49,2012,6.3,2014,13,2012,18,2009,23,2006,18,1997,36,,,,,,,,,2012,0.4,6.2,2014,45,49,47,12,17,14,2011,33,491,2013,13,1994,Moderate iodine deficiency,2008,11,11,10,2008,45,47,43,2008,30,28,31,15,4,On course - Good progress,11.81000042,0,On course - Good progress,on course,2011,Currently off course
Lao People's Democratic Republic,Asia,Asia,South-Eastern Asia,2011,44,385,2011,6,56,,,,2011,2,18,2011,14.8,2011,44,2006,48,2000,48,1994,53,1993,54,,,,,,,,,,,,2014,15,23,19,2,5,4,2011,31,529,2013,15,2000,Optimal iodine nutrition,2008,7,7,8,2008,37,40,35,2008,31,29,34,1,4,Off course - Some progress,2.99000001,0,On course - Good progress,off course,2011,Currently off course
Latvia,Europe,Europe,Northern Europe,,,,,,,,,,,,,2012,4.6,,,,,,,,,,,,,,,,,,,,,,2014,62,55,58,22,25,24,2011,24,131,,,2000,Mild iodine deficiency,2008,10,10,9,2008,47,51,42,2008,56,55,55,,,,,,,,2011,Currently off course
Lebanon,Asia,Asia,Western Asia,,,,,,,,,,,,,2009,11.5,,,,,,,2004,17,1996,17,,,,,,2011,24.1,6.7,,,,2014,67,70,69,26,38,32,2011,28,331,2013,9,1997,Mild iodine deficiency,2008,12,13,11,2008,40,44,37,2008,44,41,47,,,,,,,,2011,Currently off course
Lesotho,Africa,Africa,Southern Africa,2014,33,87,2014,3,7,2014,0,0.600000024,2014,7,19,2009,10.7,2014,33,2009,39,2004,45,2000,53,1993,38,,,,,,,,,2009,1.2,3.6,2014,19,51,35,4,24,14,2011,27,151,2013,44,1999,Moderate iodine deficiency,2008,11,9,12,2008,45,46,45,2008,24,21,24,3,4,Off course - Some progress,-0.270000011,0.5,Off course - No progress,on course,2011,Currently off course
Liberia,Africa,Africa,Western Africa,2013,32,220,2013,6,38,2013,0,2,2013,3,22,2007,14,,,2013,32,2010,42,2007,39,2000,45,,,,,,,,,2013,2.2,6.1,2014,17,33,25,3,11,7,2011,49,475,2013,60,1999,"Risk of adverse health consequences (iodine induced hyperthyroidism, auto-immune thyroid diseases)",2008,9,8,9,2008,46,47,45,2008,16,14,18,8,5,On course - Good progress,4.429999828,0,On course - Good progress,off course,2011,Currently off course
Libya,Africa,Africa,Northern Africa,2007,21,132,2007,7,41,2007,0,2.900000095,2007,22,141,,,,,,,,,2007,21,1995,21,,,,,,2007,26,8.2,,,,2014,67,71,69,27,40,33,2011,28,503,2013,8,,,2008,14,15,14,2008,50,52,47,2008,36,35,37,,3,,,6.3,,off course,2011,Currently off course
Liechtenstein,Europe,Europe,Western Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,,,,,,2008,,,,2008,,,,2008,,,,,,,,,,,2011,
Lithuania,Europe,Europe,Northern Europe,,,,,,,,,,,,,2012,4.8,,,,,,,,,,,,,,,,,,,,,,2014,63,58,60,23,28,26,2011,23,194,,,1995,Mild iodine deficiency,2008,10,11,10,2008,48,52,43,2008,55,55,54,,,,,,,,2011,Currently off course
Luxembourg,Europe,Europe,Western Europe,,,,,,,,,,,,,2011,7.1,,,,,,,,,,,,,,,,,,,,,,2014,68,48,58,27,20,23,2011,18,23,,,1994,Mild iodine deficiency,2008,8,10,7,2008,37,42,31,2008,67,70,64,,,,,,,,2011,Currently off course
Madagascar,Africa,Africa,Eastern Africa,2009,49,1631,,,,,,,,,,2008,16,2009,49,2004,53,1997,58,1995,55,1993,54,,,,,,,,,2008,6.9,28.2,2014,15,30,23,2,9,5,2011,32,1603,2013,52,,,2008,8,8,7,2008,48,49,46,2008,24,24,26,1,6,Off course - Some progress,,,,,2011,Currently off course
Malawi,Africa,Africa,Eastern Africa,2014,42,1221,2014,4,109,2014,0,1.100000024,2014,5,147,2010,13.5,2014,42,2010,48,2009,49,2006,53,2004,53,,,,,,2009,6,0.3,2010,2,7,2014,13,31,22,2,9,5,2011,29,984,2013,47,,,2008,6,6,6,2008,50,52,48,2008,24,23,25,3,6,Off course - Some progress,13.71000004,0,On course - Good progress,on course,2011,Currently off course
Malaysia,Asia,Asia,South-Eastern Asia,2006,17,438,,,,2006,,,,,,2012,11.1,2006,17,1999,21,,,,,,,,,,,,2012,23.7,9.6,,,,2014,37,40,39,11,16,13,2011,21,1556,2013,7,1995,Mild iodine deficiency,2008,11,12,11,2008,38,40,36,2008,52,50,54,3,4,Off course - Some progress,,,,,2011,Currently off course
Maldives,Asia,Asia,Southern Asia,2009,20,7,2009,10,3,2009,0,2.599999905,2009,7,2,2009,11,2009,20,2001,32,1997,47,1995,33,1994,36,,,,,,,,,2009,9.8,8.6,2014,26,34,30,5,11,8,2011,37,36,2013,5,1995,Mild iodine deficiency,2008,8,8,8,2008,38,42,35,2008,42,37,46,5,4,On course - Good progress,-6.590000153,0,On course - At risk,off course,2011,Currently off course
Mali,Africa,Africa,Western Africa,2006,39,906,2006,15,360,2006,0,6,2006,5,111,2010,18,,,2006,39,2001,43,1996,40,1987,36,,,,,,,,,2012,0.5,10.1,2014,19,31,25,4,10,7,2011,56,2016,2013,66,1999,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,9,9,10,2008,41,41,41,2008,19,18,20,2,7,Off course - Some progress,-8.680000305,0,On course - At risk,off course,2011,Currently off course
Malta,Europe,Europe,Southern Europe,,,,,,,,,,,,,2011,7,,,,,,,,,,,,,,,,,,,,,,2014,69,60,64,25,29,27,2011,17,17,,,,,2008,10,12,9,2008,39,43,34,2008,59,61,57,,,,,,,,2011,Currently off course
Marshall Islands,Oceania,Oceania,Micronesia,,,,,,,,,,,,,2007,18,,,,,,,,,,,,,,,,,,,,,,2014,73,79,76,37,49,43,2011,20,3,2013,13,,,2008,29,26,32,2008,37,41,33,2008,46,43,49,,,,,,,,2011,Currently off course
Mauritania,Africa,Africa,Western Africa,2012,22,127,2012,12,67,2012,0,1.899999976,2012,1,7,2011,34.7,2012,22,2011,30,2008,23,2007,29,2000,40,,,,,,2010,22.5,3,2000,0.6,8.6,2014,25,36,30,6,14,10,2011,39,343,2013,56,1995,Mild iodine deficiency,2008,8,8,8,2008,45,47,43,2008,22,21,23,4,5,Off course - Some progress,6.389999866,0,On course - Good progress,off course,2011,Currently off course
Mauritius,Africa,Africa,Eastern Africa,,,,,,,,,,,,,2003,14,,,,,,,1995,14,1985,27,,,,,,2011,21,6.2,,,,2014,38,52,45,11,24,18,2011,23,85,2013,29,1995,Optimal iodine nutrition,2008,11,12,10,2008,46,49,44,2008,47,48,46,,,,,,,,2011,Currently off course
Mexico,Americas,Latin America and the Caribbean,Central America,2012,14,1551,2012,2,182,2012,0,0.400000006,2012,9,1026,2012,9.15,2012,14,2006,16,1998,22,1996,26,1989,26,,,,,,,,,,,,2014,63,66,64,23,33,28,2011,14,4492,2013,12,1999,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,14,13,15,2008,36,39,33,2008,51,47,54,2,3,Off course - Some progress,-2.859999895,1.9,Off course - No progress,on course,2011,Currently off course
Micronesia (Federated States of),Oceania,Oceania,Micronesia,,,,,,,,,,,,,2009,11.1,,,,,,,,,,,,,,,,,,,,,,2014,64,75,69,31,44,37,2011,18,5,2013,17,,,2008,17,14,20,2008,42,46,38,2008,48,49,48,,,,,,,,2011,Currently off course
Monaco,Europe,Europe,Western Europe,,,,,,,,,,,,,2012,6,,,,,,,,,,,,,,,,,,,,,,2014,,,,,,,2011,,,,,,,2008,,,,2008,,,,2008,,,,,,,,,,,2011,
Mongolia,Asia,Asia,Eastern Asia,2013,11,33,2013,1,3,2013,0,0.400000006,2013,11,32,2010,4.7,2013,11,2010,16,2005,28,2004,24,2000,30,,,,,,2013,11.5,1.6,,,,2014,51,50,50,15,19,17,2011,20,168,2013,18,2001,Optimal iodine nutrition,2008,10,11,9,2008,47,51,43,2008,37,37,37,12,4,On course - Good progress,-16.15999985,3.7,Off course - No progress,on course,2011,Currently off course
Montenegro,Europe,Europe,Southern Europe,2013,9,4,2013,3,1,2013,0,1.200000048,2013,22,9,2012,5.1,,,,,,,2013,9,2005,8,,,,,,,,,,,,2014,62,50,56,19,21,20,2011,24,38,,,,,2008,9,10,8,2008,46,50,42,2008,48,48,48,-2,3,Off course - No progress,-4.570000172,9.2,Off course - No progress,on course,2011,Currently off course
Morocco,Africa,Africa,Northern Africa,2011,15,458,2011,2,71,2011,0,1,2011,11,329,2003,15,2011,15,2003,23,1997,29,1992,30,1987,35,,,,,,2010,14.1,2.5,2003,0.7,4.4,2014,52,61,57,16,28,22,2011,33,3037,2013,15,1993,Mild iodine deficiency,2008,11,11,11,2008,45,44,46,2008,37,35,39,5,4,On course - Good progress,2.680000067,3,Off course - Some progress,on course,2011,Currently off course
Mozambique,Africa,Africa,Eastern Africa,2011,43,1844,2011,6,261,2011,0,2.299999952,2011,8,338,2011,16.9,2011,43,2008,44,2003,47,2001,50,1997,49,,,,,,,,,2011,3.7,6.9,2014,14,30,22,2,9,5,2011,44,2513,2013,55,1998,Mild iodine deficiency,2008,8,8,8,2008,51,53,49,2008,26,26,26,1,5,Off course - Some progress,-1.409999967,0.9,Off course - No progress,off course,2011,Currently off course
Myanmar,Asia,Asia,South-Eastern Asia,2009,35,1550,2009,8,349,2009,0,2.099999905,2009,3,115,2009,8.6,2009,35,2003,41,2000,41,1997,55,,,,,,,,2007,5.1,0.7,,,,2014,13,22,18,1,4,3,2011,30,4206,2013,15,2001,Optimal iodine nutrition,2008,7,6,7,2008,42,44,40,2008,30,28,33,2,3,Off course - Some progress,-0.959999979,0,On course - At risk,off course,2011,Currently off course
Namibia,Africa,Africa,Southern Africa,2013,23,66,2013,7,20,2013,0,2.799999952,2013,4,12,2006,16,,,2013,23,2007,30,2000,30,1992,36,,,,,,2013,7.5,1.7,2013,0.4,11.1,2014,30,55,43,9,28,19,2011,33,197,2013,39,,,2008,9,9,10,2008,49,51,47,2008,33,31,35,4,4,Off course - Some progress,1.899999976,0,On course - Good progress,off course,2011,Currently off course
Nauru,Oceania,Oceania,Micronesia,2007,24,0,2007,1,0,2007,,0.200000003,2007,3,0,2007,27,,,,,,,,,2007,24,,,,,,2011,44.5,16.7,,,,2014,76,80,78,40,52,46,2011,,,,,,,2008,14,13,15,2008,44,48,40,2008,46,41,51,,4,,,0,,on course,2011,
Nepal,Asia,Asia,Southern Asia,2011,41,1244,2011,11,344,2011,0,2.900000095,2011,2,46,2011,17.8,2011,41,2006,49,2001,57,1998,61,1996,66,,,,,,,,,2011,12.1,19.7,2014,14,21,18,2,5,3,2011,36,2893,2013,38,1997-8,Optimal iodine nutrition,2008,10,10,9,2008,39,38,39,2008,23,22,24,3,3,On course - Good progress,-7.920000076,0,On course - At risk,off course,2011,Currently off course
Netherlands,Europe,Europe,Western Europe,,,,,,,,,,,,,2010,6.3,,,,,,,,,,,,,,,,,,,,,,2014,64,48,56,21,18,20,2011,18,690,,,1995-6,Optimal iodine nutrition,2008,5,6,4,2008,37,42,31,2008,61,63,58,,,,,,,,2011,Currently off course
New Zealand,Oceania,Oceania,Australia and New Zealand,,,,,,,,,,,,,2012,5.7,,,,,,,,,,,,,,,,,,,,,,2014,69,60,64,28,31,29,2011,15,160,,,1996-9,Mild iodine deficiency,2008,10,11,9,2008,33,38,28,2008,56,57,55,,,,,,,,2011,Currently off course
Nicaragua,Americas,Latin America and the Caribbean,Central America,2006,23,154,2006,2,10,2006,0,0.5,2006,6,41,2011,7.6,2006,23,2004,19,2001,25,1998,31,1993,30,,,,,,,,,2001,6.4,3.1,2014,44,55,49,11,23,17,2011,13,204,2013,6,2000,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,9,9,9,2008,39,43,36,2008,30,27,33,2,4,Off course - Some progress,3.25999999,0,On course - Good progress,on course,2011,Currently off course
Niger,Africa,Africa,Western Africa,2012,43,1529,2012,19,665,,,,2012,3,107,2006,27,2012,43,2006,55,2000,54,1998,51,1992,48,,,,,,,,,2012,0.4,12.5,2014,13,26,19,2,7,4,2011,47,1624,2013,56,1998,Risk of iodine-induced hyperthyroidism within 5?10 years following introduction of iodized salt in susceptible groups,2008,8,8,8,2008,52,56,49,2008,15,14,17,2,7,Off course - Some progress,-5.380000114,0,On course - At risk,off course,2011,Currently off course
Nigeria,Africa,Africa,Western Africa,2014,33,10321,2014,8,2478,2014,1,2,2014,2,565,2011,15.2,2014,33,2013,36,2011,36,2008,41,2007,43,,,,,,,,,2013,1.3,9.5,2014,26,41,33,6,16,11,2011,49,18095,2013,42,1998,Optimal iodine nutrition,2008,10,8,12,2008,49,47,50,2008,17,14,19,3,6,Off course - Some progress,15.65999985,0,On course - Good progress,off course,2011,Currently off course
Norway,Europe,Europe,Northern Europe,,,,,,,,,,,,,2009,5.2,,,,,,,,,,,,,,,,,,,,,,2014,65,52,59,25,22,23,2011,17,197,,,,,2008,9,11,8,2008,41,46,35,2008,62,64,59,,,,,,,,2011,Currently off course
